Concept,Required for certificate?,Relates to question,Schema.org,DCAT,ADMS,VoID,CKAN API,Link Headers,HTML link/meta,RDFa,microdata,Datapackage,DSPL
properties,No,,,,,void:properties,,,,,,,
property,No,,,,,void:property,,,,,,,
propertyPartition,No,,,,,void:propertyPartition,,,,,,,
rootResource,No,,,,,void:rootResource,,,,,,,
sparqlEndpoint,No,,,,,void:sparqlEndpoint,,,,,,,
subjectsTarget,No,,,,,void:subjectsTarget,,,,,,,
subset,No,,,,,void:subset,,,,,,,
target,No,,,,,void:target,,,,,,,
TechnicalFeature,No,,,,,void:TechnicalFeature,,,,,,,
triples,No,,,,,void:triples,,,,,,,
uriLookupEndpoint,No,,,,,void:uriLookupEndpoint,,,,,,,
uriRegexPattern,No,,,,,void:uriRegexPattern,,,,,,,
uriSpace,No,,,,,void:uriSpace,,,,,,,
vocabulary,Yes,vocabulary,,,,void:vocabulary,,,,,,,
Developer tools,No,,,,,,,,,,,,
Request new data,No,,,,,,,,,,,,
Share an idea,No,,,,,,,,,,,,
Share your app,No,,,,,,,,,,,,
Social,No,,,,,,,,,,,,
Status,No,,,,,,,,,,,,
State,No,,,,,,,,,,,,
Cache_last_updated,No,,,,,,,,,,,,
Cache_URL,No,,,,,,,,,,,,
Hash,No,,,,,,,,,,,,
Mimetype,No,,,,,,,,,,,,
Mimetype_inner,No,,,,,,,,,,,,
Position,No,,,,,,,,,,,,
Resource_group_ID,No,,,,,,,,,,,,
Resource_type,No,,,,,,,,,,,,
Revision_id,No,,,,,,,,,,,,
Revision_timestamp,No,,,,,,,,,,,,
Tracking_summary,No,,,,,,,,,,,,
webstore_last_updated,No,,,,,,,,,,,,
webstore_URL,No,,,,,,,,,,,,
Survey method,No,,,,,,,,,,,,
Sampling procedure,No,,,,,,,,,,,,
"Sample size, sampling rate",No,,,,,,,,,,,,
Stratification of the sample,No,,,,,,,,,,,,
Selection Technique,No,,,,,,,,,,,,
Extrapolation,No,,,,,,,,,,,,
Collection tools and reporting,No,,,,,,,,,,,,
Burden on respondents,No,,,,,,,,,,,,
Documentation of the questionnaire,No,,,,,,,,,,,,
Program URL,No,,,,,,,,,,,,
Data Series URL  ,No,,,,,,,,,,,,
Additional Metadata  ,No,,,,,,,,,,,,
Dimensions,No,,,,,,,,,,,,
Approver and date,No,,,,,,,,,,,,
URL (Excel),No,,,,,,,,,,,,
URL (SDMX),No,,,,,,,,,,,,
Survey method,No,,,,,,,,,,,,
Allocation in government hierarchy,No,,,,,,,,,,,,
Units,No,,,,,,,,,,,,
metadata_original_portal,No,,,,,,,,,,,,
metadata_original_id,No,,,,,,,,,,,,
metadata_original_xml,No,,,,,,,,,,,,
metadata_original_html,No,,,,,,,,,,,,
used_datasets,No,,,,,,,,,,,,
sector,No,,,,,,,,,,,,
images,No,,,,,,,,,,,,
ogd_version,No,,,,,,,,,,,,
Date,No,,,,,,,,,,,,
terms_of_use,No,,,,,,,,,,,,
terms_of_use - other,No,,,,,,,,,,,,
license_url,No,,,,,,,,,,,,
is_free_to_use,No,,,,,,,,,,,,
subgroups,No,,,,,,,,,,,,
Role,No,,,,,,,,,,,,
Role - other,No,,,,,,,,,,,,
Resources,No,,,,,,,,,,,,
